Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/appstore.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/appstore.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/appstore.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/appstore.eda.nokia.com/v1/catalogs,DELETE,com.nokia.eda.appstore.v1.CatalogList,,false,false,false
/apps/appstore.eda.nokia.com/v1/catalogs,GET,com.nokia.eda.appstore.v1.CatalogList,catalog_list,true,true,false
/apps/appstore.eda.nokia.com/v1/catalogs,POST,com.nokia.eda.appstore.v1.Catalog,catalog,true,false,true
/apps/appstore.eda.nokia.com/v1/catalogs/_deleted,GET,com.nokia.eda.appstore.v1.Catalog_DeletedResources,,false,false,false
/apps/appstore.eda.nokia.com/v1/catalogs/{name},DELETE,Status,catalog,true,false,true
/apps/appstore.eda.nokia.com/v1/catalogs/{name},GET,com.nokia.eda.appstore.v1.Catalog,catalog,true,true,true
/apps/appstore.eda.nokia.com/v1/catalogs/{name},PATCH,com.nokia.eda.appstore.v1.Catalog,,false,false,false
/apps/appstore.eda.nokia.com/v1/catalogs/{name},PUT,com.nokia.eda.appstore.v1.Catalog,catalog,true,false,true
/apps/appstore.eda.nokia.com/v1/catalogs/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/appstore.eda.nokia.com/v1/catalogs/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/appstore.eda.nokia.com/v1/catalogs/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/appstore.eda.nokia.com/v1/catalogs/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/appstore.eda.nokia.com/v1/registries,DELETE,com.nokia.eda.appstore.v1.RegistryList,,false,false,false
/apps/appstore.eda.nokia.com/v1/registries,GET,com.nokia.eda.appstore.v1.RegistryList,registry_list,true,true,false
/apps/appstore.eda.nokia.com/v1/registries,POST,com.nokia.eda.appstore.v1.Registry,registry,true,false,true
/apps/appstore.eda.nokia.com/v1/registries/_deleted,GET,com.nokia.eda.appstore.v1.Registry_DeletedResources,,false,false,false
/apps/appstore.eda.nokia.com/v1/registries/{name},DELETE,Status,registry,true,false,true
/apps/appstore.eda.nokia.com/v1/registries/{name},GET,com.nokia.eda.appstore.v1.Registry,registry,true,true,true
/apps/appstore.eda.nokia.com/v1/registries/{name},PATCH,com.nokia.eda.appstore.v1.Registry,,false,false,false
/apps/appstore.eda.nokia.com/v1/registries/{name},PUT,com.nokia.eda.appstore.v1.Registry,registry,true,false,true
/apps/appstore.eda.nokia.com/v1/registries/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/appstore.eda.nokia.com/v1/registries/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/appstore.eda.nokia.com/v1/registries/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/appstore.eda.nokia.com/v1/registries/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers,GET,com.nokia.eda.appstore.v1.AppInstallerList,app_installer_list,true,true,false
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers,POST,com.nokia.eda.appstore.v1.AppInstaller,app_installer,true,false,true
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name},DELETE,,app_installer,true,false,true
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name},GET,com.nokia.eda.appstore.v1.AppInstaller,app_installer,true,true,true
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name}/_artifacts,GET,,,false,false,false
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name}/_artifacts/{artifact},GET,,,false,false,false
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name}/_input,GET,WorkflowGetInputsRespElem,workflow_get_inputs_resp_elem,true,true,false
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name}/_input,PUT,WorkflowInputData,,false,false,false
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name}/_logs,GET,,,false,false,false
/workflows/v1/appstore.eda.nokia.com/v1/appinstallers/{name}/_terminate,PUT,,,false,false,false
